year,隊伍,姓名,生日,身高,體重,No.,位置,出賽場次,平均得分,平均籃板,平均助攻,平均火鍋,平均抄截,平均失誤,得分,三分命中,三分出手,三分命中率,兩分命中,兩分出手,兩分命中率,罰球進球,罰球出手,罰球命中率,進攻籃板,防守籃板,籃板,助攻,抄截,火鍋,失誤
2014-15,台啤,Patrick O'Bryant,06/20/1986,213,115,44,C,28,19.8,13.7,2.18,1.64,1.4,3.71,554,45,149,30.2,164,350,46.9,91,136,66.9,89,295,384,61,38,46,104
2014-15,台啤,蔣淯安,08/04/1991,174,65,14,PG/SG,28,6.2,2.4,1.46,0.07,1.4,1.75,173,12,43,27.9,55,130,42.3,27,49,55.1,28,38,66,41,39,2,49
2014-15,台啤,陳兆豪,06/12/1992,200,93,89,C,5,4.0,2.2,0.2,0,0.6,1.60,20,0,0,0,10,21,47.6,0,2,0,4,7,11,1,3,0,8
2014-15,富邦,張羽霖,01/16/1986,190,86,23,SG,24,9.5,3.3,0.58,0,1.1,1.71,228,42,112,37.5,39,92,42.4,24,42,57.1,24,56,80,14,27,0,41
2014-15,富邦,鄭人維,04/06/1987,194,95,12,SF,27,6.7,3.9,1.11,0.3,1.3,2.26,180,15,54,27.8,49,140,35,37,45,82.2,22,83,105,30,34,8,61
2014-15,富邦,何守正,02/15/1983,197,98,16,PF,30,3.4,2.7,0.53,0.1,0.2,0.77,101,14,55,25.5,23,57,40.4,13,18,72.2,16,65,81,16,5,3,23
2014-15,富邦,吳岱豪,02/07/1985,202,110,23,C,27,3.9,2.7,0.56,0.33,0.7,1.33,106,0,4,0,43,108,39.8,20,31,64.5,21,52,73,15,20,9,36
2014-15,富邦,魏維,12/09/1987,180,75,3,SG,21,1.4,1.2,0.52,0,0.7,0.52,29,5,23,21.7,5,17,29.4,4,9,44.4,9,17,26,11,14,0,11
2014-15,富邦,吳永仁,09/22/1982,176,74,4,PG,28,4.6,2.9,2.89,0.25,1.0,1.93,129,21,60,35,23,71,32.4,20,29,69,16,64,80,81,27,7,54
2014-15,富邦,柳昇耀,11/24/1983,189,86,19,SG,23,6.7,1.7,0.3,0.04,0.7,0.78,153,27,71,38,32,80,40,8,17,47.1,16,24,40,7,15,1,18
2014-15,富邦,蘇翊傑,01/28/1987,180,70,4,PG,26,8.5,2.3,3.81,0,1.7,3.38,222,4,30,13.3,75,172,43.6,60,77,77.9,14,45,59,99,44,0,88
2014-15,富邦,陳孝榮,05/30/1990,197,90,11,PF,26,1.9,2.3,0.35,0.19,0.6,0.46,48,0,0,0,19,47,40.4,10,24,41.7,24,35,59,9,16,5,12
2014-15,富邦,蔡政憲,08/11/1989,197,97,32,C,4,0.5,1.3,0.25,0,0.5,1.00,2,0,0,0,0,2,0,2,4,50,3,2,5,1,2,0,4
2014-15,富邦,鍾秀鼐,02/12/1990,196,95,15,SF/PF,12,0.8,0.8,0.08,0,0.2,0.58,10,1,4,25,2,10,20,3,8,37.5,4,6,10,1,2,0,7
2014-15,富邦,張容軒,12/18/1987,194,90,26,SF/PF,27,12.3,3.9,0.96,0.19,0.8,1.37,331,11,28,39.3,129,268,48.1,40,62,64.5,36,70,106,26,22,5,37
2014-15,富邦,陳則語,05/12/1991,185,75,3,PG/SG,23,1.4,0.4,0.35,0,0.1,0.70,31,1,8,12.5,9,29,31,10,17,58.8,2,8,10,8,3,0,16
2014-15,富邦,陳京華,10/11/1991,190,85,21,PG/SG,7,4.7,2.1,0.29,0,0.4,1.14,33,3,7,42.9,11,19,57.9,2,3,66.7,6,9,15,2,3,0,8
2014-15,富邦,鄭鐵,08/22/1992,186,88,9,PG/SG,3,4.3,1.3,0.67,0,1.7,0.67,13,1,3,33.3,4,9,44.4,2,2,100,2,2,4,2,5,0,2
2014-15,富邦,鄭瑋,01/08/1991,179,80,10,PG/SG,2,7.0,1.5,0,0,1.0,4.50,14,1,3,33.3,2,5,40,7,9,77.8,1,2,3,0,2,0,9
